Location,Name,Position,Place
Loudoun ,Avelina S. Jacob,Presiding Judge,juvenile domestic court (JDR)
Loudoun ,Melissa N. Cupp,,juvenile domestic court (JDR)
Loudoun ,,,juvenile domestic court (JDR)
Loudoun ,,,juvenile domestic court (JDR)
Louisa ,Deborah S. Tinsley,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Louisa ,Gilbert H. Berger,Presiding Judge,juvenile domestic court (JDR)
Louisa ,David M Barredo,,juvenile domestic court (JDR)
Louisa ,Barbara G. Lowe,,juvenile domestic court (JDR)
Louisa ,Ronald L. Morris,,juvenile domestic court (JDR)
Louisa ,Frank W. Somerville,,juvenile domestic court (JDR)
Lunenburg ,Robert H. Morrison,Presiding Judge,juvenile domestic court (JDR)
Lunenburg ,Marvin H. Dunkum Jr.,Chief Judge,juvenile domestic court (JDR)
Lunenburg ,Nora J. Miller,,juvenile domestic court (JDR)
Lunenburg ,,,juvenile domestic court (JDR)
Lynchburg ,H. Cary Payne,Presiding Judge,juvenile domestic court (JDR)
Lynchburg ,Brooke Taylor Willse Gaddy,Chief Judge,juvenile domestic court (JDR)
Lynchburg ,Jeffrey P. Bennett,,juvenile domestic court (JDR)
Lynchburg ,Robert Louis Harrison Jr.,,juvenile domestic court (JDR)
Lynchburg ,Stephanie Mutter-Ayers,,juvenile domestic court (JDR)
Lynchburg ,Jennifer E. Stille,,juvenile domestic court (JDR)
Madison ,Deborah S. Tinsley,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Madison ,David M Barredo,,juvenile domestic court (JDR)
Madison ,Gilbert H. Berger,,juvenile domestic court (JDR)
Madison ,Barbara G. Lowe,,juvenile domestic court (JDR)
Madison ,Ronald L. Morris,,juvenile domestic court (JDR)
Madison ,Frank W. Somerville,,juvenile domestic court (JDR)
Martinsville ,Kimberly R. Belongia,Presiding Judge,juvenile domestic court (JDR)
Martinsville ,Susan N. Deatherage,Chief Judge,juvenile domestic court (JDR)
Martinsville ,,,juvenile domestic court (JDR)
Mathews ,Cressondra B. Conyers,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Mathews ,Wade A. Bowie,,juvenile domestic court (JDR)
Mathews ,Mara M. Matthews,,juvenile domestic court (JDR)
Mathews ,Brian J. Smalls,,juvenile domestic court (JDR)
Mecklenburg ,Nora J. Miller,Presiding Judge,juvenile domestic court (JDR)
Mecklenburg ,Marvin H. Dunkum Jr.,Chief Judge,juvenile domestic court (JDR)
Mecklenburg ,Robert H. Morrison,,juvenile domestic court (JDR)
Mecklenburg ,,,juvenile domestic court (JDR)
Middlesex ,Mara M. Matthews,Presiding Judge,juvenile domestic court (JDR)
Middlesex ,Cressondra B. Conyers,Chief Judge,juvenile domestic court (JDR)
Middlesex ,Wade A. Bowie,,juvenile domestic court (JDR)
Middlesex ,Brian J. Smalls,,juvenile domestic court (JDR)
Montgomery ,Robert C. Viar Jr.,Presiding Judge,juvenile domestic court (JDR)
Montgomery ,Stephanie Murray Shortt,Chief Judge,juvenile domestic court (JDR)
Montgomery ,Howard Lee Chitwood,,juvenile domestic court (JDR)
Montgomery ,Monica D. Cox,,juvenile domestic court (JDR)
Montgomery ,Bradley G Dalton,,juvenile domestic court (JDR)
Montgomery ,,,juvenile domestic court (JDR)
Nelson,Jennifer E. Stille,Presiding Judge,juvenile domestic court (JDR)
Nelson,Brooke Taylor Willse Gaddy,Chief Judge,juvenile domestic court (JDR)
Nelson,Jeffrey P. Bennett,,juvenile domestic court (JDR)
Nelson,Robert Louis Harrison Jr.,,juvenile domestic court (JDR)
Nelson,Stephanie Mutter-Ayers,,juvenile domestic court (JDR)
Nelson,H. Cary Payne,,juvenile domestic court (JDR)
New Kent,Cressondra B. Conyers,Chief Judge,juvenile domestic court (JDR)
New Kent,Wade A. Bowie,,juvenile domestic court (JDR)
New Kent,Mara M. Matthews,,juvenile domestic court (JDR)
New Kent,Brian J. Smalls,,juvenile domestic court (JDR)
Newport News,Jeffrey C. Rountree,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Newport News,Rebecca M. Robinson,Presiding Judge,juvenile domestic court (JDR)
Newport News,Kimberly Anne Kurkjian,,juvenile domestic court (JDR)
Newport News,Shawn W. Overbey,,juvenile domestic court (JDR)
Newport News,,,juvenile domestic court (JDR)
Norfolk ,Devon R. Paige,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Norfolk ,M. Randolph Carlson II,Presiding Judge,juvenile domestic court (JDR)
Norfolk ,Lauri DiEnno Hogge,Presiding Judge,juvenile domestic court (JDR)
Norfolk ,Lyn M. Simmons,Presiding Judge,juvenile domestic court (JDR)
Norfolk ,Robert McLanahan Smith III,Presiding Judge,juvenile domestic court (JDR)
Norfolk ,,,juvenile domestic court (JDR)
Norfolk ,,,juvenile domestic court (JDR)
Norfolk ,,,juvenile domestic court (JDR)
Northampton ,Cela J. Burge,Chief Judge,juvenile domestic court (JDR)
Northampton ,,,juvenile domestic court (JDR)
Northampton ,,,juvenile domestic court (JDR)
Northampton ,,,juvenile domestic court (JDR)
Northampton ,,,juvenile domestic court (JDR)
Northampton ,,,juvenile domestic court (JDR)
Northampton ,,,juvenile domestic court (JDR)
Northumberland ,William L. Lewis,Presiding Judge,juvenile domestic court (JDR)
Northumberland ,Georgia K. Sutton,Chief Judge,juvenile domestic court (JDR)
Northumberland ,John E. Franklin,,juvenile domestic court (JDR)
Northumberland ,Shannon O. Hoehl,,juvenile domestic court (JDR)
Northumberland ,Julian W. Johnson,,juvenile domestic court (JDR)
Northumberland ,Marcel D. Jones,,juvenile domestic court (JDR)
Northumberland ,Andrea M. Stewart,,juvenile domestic court (JDR)
Northumberland ,Frank G Uvanni,,juvenile domestic court (JDR)
Northumberland ,Joseph A. Vance IV,,juvenile domestic court (JDR)
Northumberland ,,,juvenile domestic court (JDR)
Northumberland ,,,juvenile domestic court (JDR)
Nottoway ,Phillip T. DiStanislao,Chief Judge,juvenile domestic court (JDR)
Nottoway ,Theresa J. Royall,,juvenile domestic court (JDR)
Nottoway ,Cheryl J. Wilson,,juvenile domestic court (JDR)
Orange ,Ronald L. Morris,Presiding Judge,juvenile domestic court (JDR)
Orange ,Deborah S. Tinsley,Chief Judge,juvenile domestic court (JDR)
Orange ,David M Barredo,,juvenile domestic court (JDR)
Orange ,Gilbert H. Berger,,juvenile domestic court (JDR)
Orange ,Barbara G. Lowe,,juvenile domestic court (JDR)
Orange ,Frank W. Somerville,,juvenile domestic court (JDR)
Page ,Rachel E. Figura,Presiding Judge,juvenile domestic court (JDR)
Page ,Hugh David O'Donnell,Chief Judge,juvenile domestic court (JDR)
Page ,Kimberly Marion Athey,,juvenile domestic court (JDR)
Page ,Anthony Wayne Bailey,,juvenile domestic court (JDR)
Page ,Elizabeth Kellas Burton,,juvenile domestic court (JDR)
Page ,Daryl L. Funk,,juvenile domestic court (JDR)
Page ,Chad A. Logan,,juvenile domestic court (JDR)
Page ,,,juvenile domestic court (JDR)
Patrick ,Kimberly R. Belongia,Presiding Judge,juvenile domestic court (JDR)
Patrick ,Susan N. Deatherage,Chief Judge,juvenile domestic court (JDR)
Patrick ,,,juvenile domestic court (JDR)
Petersburg ,Phillip T. DiStanislao,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Petersburg ,Cheryl J. Wilson,Presiding Judge,juvenile domestic court (JDR)
Petersburg ,Theresa J. Royall,,juvenile domestic court (JDR)
Pittsylvania ,Brian H. Turpin,Chief Judge,juvenile domestic court (JDR)
Pittsylvania ,Deanna Perdue Stone,,juvenile domestic court (JDR)
Pittsylvania ,Dale M. Wiley,,juvenile domestic court (JDR)
Pittsylvania ,,,juvenile domestic court (JDR)
Portsmouth ,Diane P. Griffin,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Portsmouth ,Bryan K. Meals,Presiding Judge,juvenile domestic court (JDR)
Portsmouth ,Alotha C. Willis,Presiding Judge,juvenile domestic court (JDR)
Portsmouth ,,,juvenile domestic court (JDR)
Powhatan ,Theresa J. Royall,Presiding Judge,juvenile domestic court (JDR)
Powhatan ,Phillip T. DiStanislao,Chief Judge,juvenile domestic court (JDR)
Powhatan ,Cheryl J. Wilson,,juvenile domestic court (JDR)
Prince Edward,Marvin H. Dunkum Jr.,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Prince Edward,Nora J. Miller,,juvenile domestic court (JDR)
Prince Edward,Robert H. Morrison,,juvenile domestic court (JDR)
Prince Edward,,,juvenile domestic court (JDR)
Prince George,Jacqueline R. Waymack,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Prince George,Christopher B. Ackerman,,juvenile domestic court (JDR)
Prince George,Wallace W. Brittle Jr.,,juvenile domestic court (JDR)
Prince George,,,juvenile domestic court (JDR)
Prince George,,,juvenile domestic court (JDR)
Prince William,David Scott Bailey,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Prince William,Lisa Michelle Baird,Presiding Judge,juvenile domestic court (JDR)
Prince William,Helen Jan Roltsch-Anoll,Presiding Judge,juvenile domestic court (JDR)
Prince William,Carlos Javier Flores Laboy,,juvenile domestic court (JDR)
Prince William,Jacqueline W. Lucas,,juvenile domestic court (JDR)
Prince William,,,juvenile domestic court (JDR)
Pulaski ,Howard Lee Chitwood,Presiding Judge,juvenile domestic court (JDR)
Pulaski ,Stephanie Murray Shortt,Chief Judge,juvenile domestic court (JDR)
Pulaski ,Monica D. Cox,,juvenile domestic court (JDR)
Pulaski ,Bradley G Dalton,,juvenile domestic court (JDR)
Pulaski ,Robert C. Viar Jr.,,juvenile domestic court (JDR)
Pulaski ,,,juvenile domestic court (JDR)
Radford ,Stephanie Murray Shortt,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Radford ,Howard Lee Chitwood,,juvenile domestic court (JDR)
Radford ,Monica D. Cox,,juvenile domestic court (JDR)
Radford ,Bradley G Dalton,,juvenile domestic court (JDR)
Radford ,Robert C. Viar Jr.,,juvenile domestic court (JDR)
Radford ,,,juvenile domestic court (JDR)
Radford ,Melissa N. Cupp,Presiding Judge,juvenile domestic court (JDR)
Radford ,Pamela L. Brooks,Chief Judge,juvenile domestic court (JDR)
Radford ,Avelina S. Jacob,,juvenile domestic court (JDR)
Radford ,,,juvenile domestic court (JDR)
Radford ,,,juvenile domestic court (JDR)
Richmond ,Marilynn C. Goss-Thornton,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Richmond ,Richard B. Campbell,Presiding Judge,juvenile domestic court (JDR)
Richmond ,Brice Edward Lambert,Presiding Judge,juvenile domestic court (JDR)
Richmond ,Mary E. Langer,Presiding Judge,juvenile domestic court (JDR)
Richmond ,Ashley K. Tunner,Presiding Judge,juvenile domestic court (JDR)
Richmond ,,,juvenile domestic court (JDR)
Richmond ,,,juvenile domestic court (JDR)
Richmond County,William L. Lewis,Presiding Judge,juvenile domestic court (JDR)
Richmond County,Georgia K. Sutton,Chief Judge,juvenile domestic court (JDR)
Richmond County,John E. Franklin,,juvenile domestic court (JDR)
Richmond County,Shannon O. Hoehl,,juvenile domestic court (JDR)
Richmond County,Julian W. Johnson,,juvenile domestic court (JDR)
Richmond County,Marcel D. Jones,,juvenile domestic court (JDR)
Richmond County,Andrea M. Stewart,,juvenile domestic court (JDR)
Richmond County,Frank G Uvanni,,juvenile domestic court (JDR)
Richmond County,Joseph A. Vance IV,,juvenile domestic court (JDR)
Richmond County,,,juvenile domestic court (JDR)
Richmond County,,,juvenile domestic court (JDR)
Roanoke City,Hilary D. Griffith,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Roanoke City,Leisa K. Ciaffone,Presiding Judge,juvenile domestic court (JDR)
Roanoke City,Frank W. Rogers III,Presiding Judge,juvenile domestic court (JDR)
Roanoke City,Heather P. Ferguson,,juvenile domestic court (JDR)
Roanoke City,Melissa W. Friedman,,juvenile domestic court (JDR)
Roanoke County,Leisa K. Ciaffone,Presiding Judge,juvenile domestic court (JDR)
Roanoke County,Hilary D. Griffith,Chief Judge,juvenile domestic court (JDR)
Roanoke County,Heather P. Ferguson,,juvenile domestic court (JDR)
Roanoke County,Melissa W. Friedman,,juvenile domestic court (JDR)
Roanoke County,Frank W. Rogers III,,juvenile domestic court (JDR)
Rockbridge ,Correy R. Smith,Chief Judge,juvenile domestic court (JDR)
Rockbridge ,Robert C. Hagan Jr.,,juvenile domestic court (JDR)
Rockbridge ,Linda Schorsch Jones,,juvenile domestic court (JDR)
Rockbridge ,Susan B. Read,,juvenile domestic court (JDR)
Rockbridge ,Paul A. Tucker,,juvenile domestic court (JDR)
Rockbridge ,,,juvenile domestic court (JDR)
Russell ,Laura F. Robinson,Chief Judge,juvenile domestic court (JDR)
Russell ,Michael J. Bush,,juvenile domestic court (JDR)
Russell ,Martha P. Ketron,,juvenile domestic court (JDR)
Russell ,,,juvenile domestic court (JDR)
Russell ,,,juvenile domestic court (JDR)
Salem ,David B. Carson,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Salem ,John Christopher Clemens,Presiding Judge,juvenile domestic court (JDR)
Salem ,Charles N. Dorsey,,juvenile domestic court (JDR)
Salem ,James R. Swanson,,juvenile domestic court (JDR)
Salem ,Onzlee Ware,,juvenile domestic court (JDR)
Scott ,Marcus F. McClung,Chief Judge,juvenile domestic court (JDR)
Scott ,Kimberly M. Jenkins,,juvenile domestic court (JDR)
Scott ,Elizabeth S. Wills,,juvenile domestic court (JDR)
Scott ,,,juvenile domestic court (JDR)
Shenandoah ,Hugh David O'Donnell,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Shenandoah ,Chad A. Logan,Presiding Judge,juvenile domestic court (JDR)
Shenandoah ,Kimberly Marion Athey,,juvenile domestic court (JDR)
Shenandoah ,Anthony Wayne Bailey,,juvenile domestic court (JDR)
Shenandoah ,Elizabeth Kellas Burton,,juvenile domestic court (JDR)
Shenandoah ,Rachel E. Figura,,juvenile domestic court (JDR)
Shenandoah ,Daryl L. Funk,,juvenile domestic court (JDR)
Shenandoah ,,,juvenile domestic court (JDR)
Smyth ,Joseph B. Lyle,Chief Judge,juvenile domestic court (JDR)
Smyth ,Richard S. Buddington Jr.,,juvenile domestic court (JDR)
Smyth ,Florence A. Powell,,juvenile domestic court (JDR)
Smyth ,,,juvenile domestic court (JDR)
Southampton ,James E. Wiser,Chief Judge,juvenile domestic court (JDR)
Southampton ,Stan D. Clark,,juvenile domestic court (JDR)
Southampton ,,,juvenile domestic court (JDR)
Southampton ,,,juvenile domestic court (JDR)
Spotsylvania ,Georgia K. Sutton,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Spotsylvania ,John E. Franklin,Presiding Judge,juvenile domestic court (JDR)
Spotsylvania ,Shannon O. Hoehl,,juvenile domestic court (JDR)
Spotsylvania ,Julian W. Johnson,,juvenile domestic court (JDR)
Spotsylvania ,Marcel D. Jones,,juvenile domestic court (JDR)
Spotsylvania ,William L. Lewis,,juvenile domestic court (JDR)
Spotsylvania ,Andrea M. Stewart,,juvenile domestic court (JDR)
Spotsylvania ,Frank G Uvanni,,juvenile domestic court (JDR)
Spotsylvania ,Joseph A. Vance IV,,juvenile domestic court (JDR)
Spotsylvania ,,,juvenile domestic court (JDR)
Spotsylvania ,,,juvenile domestic court (JDR)
Stafford ,Julian W. Johnson,Presiding Judge,juvenile domestic court (JDR)
Stafford ,Marcel D. Jones,Presiding Judge,juvenile domestic court (JDR)
Stafford ,Andrea M. Stewart,Presiding Judge,juvenile domestic court (JDR)
Stafford ,Georgia K. Sutton,Chief Judge,juvenile domestic court (JDR)
Stafford ,John E. Franklin,,juvenile domestic court (JDR)
Stafford ,Shannon O. Hoehl,,juvenile domestic court (JDR)
Stafford ,William L. Lewis,,juvenile domestic court (JDR)
Stafford ,Frank G Uvanni,,juvenile domestic court (JDR)
Stafford ,Joseph A. Vance IV,,juvenile domestic court (JDR)
Stafford ,,,juvenile domestic court (JDR)
Stafford ,,,juvenile domestic court (JDR)
Staunton ,Correy R. Smith,Chief Judge,juvenile domestic court (JDR)
Staunton ,Robert C. Hagan Jr.,,juvenile domestic court (JDR)
Staunton ,Linda Schorsch Jones,,juvenile domestic court (JDR)
Staunton ,Susan B. Read,,juvenile domestic court (JDR)
Staunton ,Paul A. Tucker,,juvenile domestic court (JDR)
Staunton ,,,juvenile domestic court (JDR)
Suffolk ,James E. Wiser,Chief Judge,juvenile domestic court (JDR)
Suffolk ,Stan D. Clark,,juvenile domestic court (JDR)
Suffolk ,,,juvenile domestic court (JDR)
Suffolk ,,,juvenile domestic court (JDR)
Surry ,Jacqueline R. Waymack,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Surry ,Christopher B. Ackerman,Presiding Judge,juvenile domestic court (JDR)
Surry ,Wallace W. Brittle Jr.,Presiding Judge,juvenile domestic court (JDR)
Surry ,,,juvenile domestic court (JDR)
Surry ,,,juvenile domestic court (JDR)
Sussex ,Christopher B. Ackerman,Presiding Judge,juvenile domestic court (JDR)
Sussex ,Wallace W. Brittle Jr.,Presiding Judge,juvenile domestic court (JDR)
Sussex ,Jacqueline R. Waymack,Chief Judge,juvenile domestic court (JDR)
Sussex ,,,juvenile domestic court (JDR)
Sussex ,,,juvenile domestic court (JDR)
Tazewell ,Laura F. Robinson,Chief Judge,juvenile domestic court (JDR)
Tazewell ,Michael J. Bush,,juvenile domestic court (JDR)
Tazewell ,Martha P. Ketron,,juvenile domestic court (JDR)
Tazewell ,,,juvenile domestic court (JDR)
Tazewell ,,,juvenile domestic court (JDR)
Virginia ,Philip C Hollowell,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Virginia ,Adrianne L. Bennett,,juvenile domestic court (JDR)
Virginia ,Deborah V. Bryan,Presiding Judge,juvenile domestic court (JDR)
Virginia ,Tanya Bullock,Presiding Judge,juvenile domestic court (JDR)
Virginia ,Cheshire I'Anson Eveleigh,Presiding Judge,juvenile domestic court (JDR)
Virginia ,Timothy J. Quick,Presiding Judge,juvenile domestic court (JDR)
Virginia ,,,juvenile domestic court (JDR)
Warren ,Daryl L. Funk,Presiding Judge,juvenile domestic court (JDR)
Warren ,Hugh David O'Donnell,Chief Judge,juvenile domestic court (JDR)
Warren ,Kimberly Marion Athey,,juvenile domestic court (JDR)
Warren ,Anthony Wayne Bailey,,juvenile domestic court (JDR)
Warren ,Elizabeth Kellas Burton,,juvenile domestic court (JDR)
Warren ,Rachel E. Figura,,juvenile domestic court (JDR)
Warren ,Chad A. Logan,,juvenile domestic court (JDR)
Warren ,,,juvenile domestic court (JDR)
Washington ,Florence A. Powell,Presiding Judge,juvenile domestic court (JDR)
Washington ,Joseph B. Lyle,Chief Judge,juvenile domestic court (JDR)
Washington ,Richard S. Buddington Jr.,,juvenile domestic court (JDR)
Washington ,,,juvenile domestic court (JDR)
Waynesboro ,Correy R. Smith,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Waynesboro ,Robert C. Hagan Jr.,,juvenile domestic court (JDR)
Waynesboro ,Linda Schorsch Jones,,juvenile domestic court (JDR)
Waynesboro ,Susan B. Read,,juvenile domestic court (JDR)
Waynesboro ,Paul A. Tucker,,juvenile domestic court (JDR)
Waynesboro ,,,juvenile domestic court (JDR)
Westmoreland ,William L. Lewis,Presiding Judge,juvenile domestic court (JDR)
Westmoreland ,Georgia K. Sutton,Chief Judge,juvenile domestic court (JDR)
Westmoreland ,John E. Franklin,,juvenile domestic court (JDR)
Westmoreland ,Shannon O. Hoehl,,juvenile domestic court (JDR)
Westmoreland ,Julian W. Johnson,,juvenile domestic court (JDR)
Westmoreland ,Marcel D. Jones,,juvenile domestic court (JDR)
Westmoreland ,Andrea M. Stewart,,juvenile domestic court (JDR)
Westmoreland ,Frank G Uvanni,,juvenile domestic court (JDR)
Westmoreland ,Joseph A. Vance IV,,juvenile domestic court (JDR)
Westmoreland ,,,juvenile domestic court (JDR)
Westmoreland ,,,juvenile domestic court (JDR)
Williamsburg/James City County,Cressondra B. Conyers,Chief Judge,juvenile domestic court (JDR)
Williamsburg/James City County,Wade A. Bowie,,juvenile domestic court (JDR)
Williamsburg/James City County,Mara M. Matthews,,juvenile domestic court (JDR)
Williamsburg/James City County,Brian J. Smalls,,juvenile domestic court (JDR)
Winchester ,Kimberly Marion Athey,Presiding Judge,juvenile domestic court (JDR)
Winchester ,Elizabeth Kellas Burton,Presiding Judge,juvenile domestic court (JDR)
Winchester ,Hugh David O'Donnell,Chief Judge,juvenile domestic court (JDR)
Winchester ,Anthony Wayne Bailey,,juvenile domestic court (JDR)
Winchester ,Rachel E. Figura,,juvenile domestic court (JDR)
Winchester ,Daryl L. Funk,,juvenile domestic court (JDR)
Winchester ,Chad A. Logan,,juvenile domestic court (JDR)
Winchester ,,,juvenile domestic court (JDR)
Wise ,Elizabeth S. Wills,Presiding Judge,juvenile domestic court (JDR)
Wise ,Marcus F. McClung,Chief Judge,juvenile domestic court (JDR)
Wise ,Kimberly M. Jenkins,,juvenile domestic court (JDR)
Wise ,,,juvenile domestic court (JDR)
Wythe ,Bradley G Dalton,Presiding Judge,juvenile domestic court (JDR)
Wythe ,Stephanie Murray Shortt,Chief Judge,juvenile domestic court (JDR)
Wythe ,Howard Lee Chitwood,,juvenile domestic court (JDR)
Wythe ,Monica D. Cox,,juvenile domestic court (JDR)
Wythe ,Robert C. Viar Jr.,,juvenile domestic court (JDR)
Wythe ,,,juvenile domestic court (JDR)
York County Poquoson,Cressondra B. Conyers,Chief Judge,juvenile domestic court (JDR)
York County Poquoson,Wade A. Bowie,,juvenile domestic court (JDR)
York County Poquoson,Mara M. Matthews,,juvenile domestic court (JDR)
York County Poquoson,Brian J. Smalls,,juvenile domestic court (JDR)
Accomack ,Leslie L. Lilley,Chief Judge, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Accomack ,Kevin M. Duffan,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Accomack ,Steven C. Frucci,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Accomack ,William Revell Lewis III,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Accomack ,James Clayton Lewis,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Accomack ,Stephen C. Mahan,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Accomack ,Anne Bonwill Shockley,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Abemarle,Cheryl V. Higgins,Presiding Judge, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Abemarle,Timothy K. Sanner,Chief Judge, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Abemarle,Dale B. Durrer,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Abemarle,David B. Franzen,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Abemarle,Richard E. Moore,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Abemarle,Claude V. Worrell Jr.,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Alexandria ,Lisa Bondareff Kemler,"Presiding Judge, Chief Judge", Circuit Court  https://www.vacourts.gov/courts/circuit.html
Alexandria ,"James C. Clark, Presiding Judge",, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Alexandria ,Kathleen M. Uston,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Alleghany ,Edward K. Stein,Presiding Judge, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Alleghany ,William Chapman Goodwin,Chief Judge, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Alleghany ,Joel R. Branscom,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Alleghany ,Paul A. Dryer,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Alleghany ,Anne M. Reed,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Alleghany ,Christopher B. Russell,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Amelia,Paul W. Cella,Chief Judge, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Amelia,Dennis M. Martin,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Amelia,Joseph M. Teefey Jr.,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Amherst ,Michael T. Garrett,Chief Judge, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Amherst ,John T. Cook,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Amherst ,Michael R. Doucette,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Amherst ,James W. Updike Jr.,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Amherst ,James F. Watson,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Amherst ,Frank Patrick Yeatts,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Appomattox ,Stephen Anderson Nelson,Presiding Judge, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Appomattox ,"Kimberley S. White, Chief Judge",, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Appomattox ,Donald Carl Blessing,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Appomattox ,James William Watson Jr.,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Arlington,William T. Newman Jr.,"Presiding Judge, Chief Judge", Circuit Court  https://www.vacourts.gov/courts/circuit.html
Arlington,Louise M. DiMatteo,Presiding Judge, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Arlington,Daniel S. Fiore II,Presiding Judge, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Arlington,Judith L. Wheat,Presiding Judge, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Augusta ,William Chapman Goodwin,"Presiding Judge, Chief Judge", Circuit Court  https://www.vacourts.gov/courts/circuit.html
Augusta ,Joel R. Branscom,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Augusta ,Paul A. Dryer,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Augusta ,Anne M. Reed,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Augusta ,Christopher B. Russell,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Augusta ,Edward K. Stein,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Bath ,Edward K. Stein,Presiding Judge, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Bath ,William Chapman Goodwin,Chief Judge, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Bath ,Joel R. Branscom,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Bath ,Paul A. Dryer,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Bath ,Anne M. Reed,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Bath ,Christopher B. Russell,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Bedford ,James W. Updike Jr.,Presiding Judge, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Bedford ,Michael T. Garrett,Chief Judge, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Bedford ,John T. Cook,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Bedford ,Michael R. Doucette,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Bedford ,James F. Watson,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Bedford ,Frank Patrick Yeatts,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Bland ,Hugh Lee Harrell,Presiding Judge, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Bland ,Josiah T. Showalter Jr.,Presiding Judge, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Bland ,Bradley W. Finch,Chief Judge, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Bland ,Kenneth M. Fleenor Jr.,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Bland ,Brett L. Geisler,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Bland ,Robert M. D. Turk,, Circuit Court  https://www.vacourts.gov/courts/circuit.html
Botetourt,William Chapman Goodwin,Chief Judge, Circuit Court  https://www.vacourts.gov/courts/circuit.html
